locid,ndowid,timestamp,lng,lat,hdop,species,mgmtarea,deviceid
1,1,4/10/2015 0:00,-141.7593,62.64101,1,Lynx,Tetlin Refuge,ATS
1,1,4/10/2015 4:00,-141.79025,62.63479,1.1,Lynx,Tetlin Refuge,ATS
1,1,4/10/2015 8:00,-141.75962,62.64101,0.8,Lynx,Tetlin Refuge,ATS
1,1,4/10/2015 12:00,-141.75714,62.64498,1.3,Lynx,Tetlin Refuge,ATS
1,1,4/10/2015 16:00,-141.79075,62.6717,1.3,Lynx,Tetlin Refuge,ATS
1,1,4/10/2015 20:00,-141.78259,62.67381,1.6,Lynx,Tetlin Refuge,ATS
1,1,4/11/2015 0:00,-141.78376,62.67559,1.7,Lynx,Tetlin Refuge,ATS
1,1,4/11/2015 4:00,-141.72837,62.67663,1.2,Lynx,Tetlin Refuge,ATS
1,1,4/11/2015 8:00,-141.69577,62.65829,1.2,Lynx,Tetlin Refuge,ATS
1,1,4/11/2015 12:00,-141.6943,62.65641,1.2,Lynx,Tetlin Refuge,ATS
1,1,4/11/2015 16:00,-141.68554,62.64764,0.9,Lynx,Tetlin Refuge,ATS
1,1,4/11/2015 20:00,-141.69216,62.64803,1,Lynx,Tetlin Refuge,ATS
1,1,4/12/2015 0:00,-141.73139,62.6406,1.1,Lynx,Tetlin Refuge,ATS
1,1,4/12/2015 4:00,-141.78572,62.64734,0.8,Lynx,Tetlin Refuge,ATS
1,1,4/12/2015 8:00,-141.65483,62.65391,1,Lynx,Tetlin Refuge,ATS
1,1,4/12/2015 8:01,-141.7841,62.67401,1.3,Lynx,Tetlin Refuge,ATS
1,1,4/12/2015 12:00,-141.64842,62.66025,1,Lynx,Tetlin Refuge,ATS
1,1,4/12/2015 16:00,-141.69796,62.67591,1.3,Lynx,Tetlin Refuge,ATS
1,1,4/12/2015 20:00,-141.80551,62.65736,1.1,Lynx,Tetlin Refuge,ATS
1,1,4/13/2015 0:00,-141.78479,62.6454,0.9,Lynx,Tetlin Refuge,ATS
1,1,4/13/2015 4:00,-141.7635,62.64591,1.2,Lynx,Tetlin Refuge,ATS
1,1,4/13/2015 8:00,-141.75469,62.65573,1.3,Lynx,Tetlin Refuge,ATS
1,1,4/13/2015 12:00,-141.75405,62.65613,1.6,Lynx,Tetlin Refuge,ATS
1,1,4/13/2015 16:00,-141.75714,62.66899,1.1,Lynx,Tetlin Refuge,ATS
1,1,4/13/2015 20:00,-141.65983,62.67045,0.8,Lynx,Tetlin Refuge,ATS
1,1,4/14/2015 0:00,-141.65982,62.67045,0.8,Lynx,Tetlin Refuge,ATS
1,1,4/14/2015 4:00,-141.6853,62.65525,1,Lynx,Tetlin Refuge,ATS
1,1,4/14/2015 8:00,-141.68881,62.65471,1.2,Lynx,Tetlin Refuge,ATS
1,1,4/14/2015 12:00,-141.68405,62.647,1.3,Lynx,Tetlin Refuge,ATS
1,1,4/14/2015 16:00,-141.68481,62.64643,0.8,Lynx,Tetlin Refuge,ATS
1,1,4/14/2015 20:00,-141.64976,62.6568,1.1,Lynx,Tetlin Refuge,ATS
1,1,4/15/2015 0:00,-141.67787,62.6696,0.9,Lynx,Tetlin Refuge,ATS
1,1,4/15/2015 4:00,-141.7639,62.68039,1,Lynx,Tetlin Refuge,ATS
1,1,4/15/2015 8:00,-141.77008,62.67942,1.1,Lynx,Tetlin Refuge,ATS
1,1,4/15/2015 12:00,-141.80409,62.6589,1.5,Lynx,Tetlin Refuge,ATS
1,1,4/15/2015 20:00,-141.79788,62.66593,1.1,Lynx,Tetlin Refuge,ATS
1,1,4/16/2015 0:00,-141.83531,62.65298,0.9,Lynx,Tetlin Refuge,ATS
1,1,4/16/2015 4:00,-141.80699,62.66601,0.9,Lynx,Tetlin Refuge,ATS
1,1,4/16/2015 8:00,-141.75115,62.63899,1.4,Lynx,Tetlin Refuge,ATS
1,1,4/16/2015 12:00,-141.74864,62.63791,1.2,Lynx,Tetlin Refuge,ATS
1,1,4/16/2015 16:01,-141.708,62.6572,1,Lynx,Tetlin Refuge,ATS
1,1,4/16/2015 20:00,-141.68934,62.66766,1.4,Lynx,Tetlin Refuge,ATS
1,1,4/17/2015 0:00,-141.71304,62.67443,1,Lynx,Tetlin Refuge,ATS
1,1,4/17/2015 4:00,-141.74485,62.67855,1.1,Lynx,Tetlin Refuge,ATS
1,1,4/17/2015 8:00,-141.80632,62.69037,1.6,Lynx,Tetlin Refuge,ATS
1,1,4/17/2015 12:00,-141.81112,62.68424,0.8,Lynx,Tetlin Refuge,ATS
1,1,4/17/2015 16:00,-141.81301,62.6819,1,Lynx,Tetlin Refuge,ATS
1,1,4/17/2015 20:00,-141.79609,62.6662,0.9,Lynx,Tetlin Refuge,ATS
1,1,4/18/2015 0:00,-141.7906,62.66893,1.1,Lynx,Tetlin Refuge,ATS
1,1,4/18/2015 4:00,-141.77572,62.67955,1.2,Lynx,Tetlin Refuge,ATS
1,1,4/18/2015 8:00,-141.75927,62.68377,1.5,Lynx,Tetlin Refuge,ATS
1,1,4/18/2015 12:00,-141.72331,62.66699,0.8,Lynx,Tetlin Refuge,ATS
1,1,4/18/2015 16:00,-141.72322,62.66643,0.9,Lynx,Tetlin Refuge,ATS
1,1,4/18/2015 20:00,-141.72166,62.66633,1.1,Lynx,Tetlin Refuge,ATS
1,1,4/19/2015 0:00,-141.68,62.6618,1.4,Lynx,Tetlin Refuge,ATS
1,1,4/19/2015 4:00,-141.66558,62.64945,1.4,Lynx,Tetlin Refuge,ATS
1,1,4/19/2015 8:00,-141.73616,62.63725,1.1,Lynx,Tetlin Refuge,ATS
1,1,4/19/2015 16:01,-141.81462,62.65876,1,Lynx,Tetlin Refuge,ATS
1,1,4/20/2015 0:00,-141.77781,62.66551,1,Lynx,Tetlin Refuge,ATS
1,1,4/20/2015 4:00,-141.77545,62.66678,1.2,Lynx,Tetlin Refuge,ATS
1,1,4/20/2015 8:00,-141.77941,62.66269,1.1,Lynx,Tetlin Refuge,ATS
1,1,4/20/2015 12:00,-141.79478,62.64553,1.5,Lynx,Tetlin Refuge,ATS
1,1,4/20/2015 16:01,-141.78784,62.6447,0.9,Lynx,Tetlin Refuge,ATS
1,1,4/20/2015 20:00,-141.76892,62.64404,1.2,Lynx,Tetlin Refuge,ATS
1,1,4/21/2015 0:00,-141.76866,62.64383,1.3,Lynx,Tetlin Refuge,ATS
1,1,4/21/2015 4:00,-141.76858,62.64383,1,Lynx,Tetlin Refuge,ATS
1,1,4/21/2015 8:00,-141.76889,62.64408,0.8,Lynx,Tetlin Refuge,ATS
1,1,4/21/2015 12:00,-141.76838,62.64422,0.9,Lynx,Tetlin Refuge,ATS
1,1,4/21/2015 16:00,-141.7684,62.64383,0.9,Lynx,Tetlin Refuge,ATS
1,1,4/21/2015 20:01,-141.76843,62.64412,1.2,Lynx,Tetlin Refuge,ATS
1,1,4/22/2015 0:00,-141.76809,62.64421,1.2,Lynx,Tetlin Refuge,ATS
1,1,4/22/2015 4:00,-141.76809,62.644,1,Lynx,Tetlin Refuge,ATS
1,1,4/22/2015 8:00,-141.76863,62.64404,0.9,Lynx,Tetlin Refuge,ATS
1,1,4/22/2015 12:00,-141.76998,62.6441,0.9,Lynx,Tetlin Refuge,ATS
1,1,4/22/2015 16:00,-141.78204,62.64483,0.9,Lynx,Tetlin Refuge,ATS
1,1,4/22/2015 20:00,-141.76069,62.6616,1.2,Lynx,Tetlin Refuge,ATS
1,1,4/23/2015 0:00,-141.7545,62.66506,0.9,Lynx,Tetlin Refuge,ATS
1,1,4/23/2015 4:00,-141.75138,62.66689,1.1,Lynx,Tetlin Refuge,ATS
1,1,4/23/2015 8:01,-141.75129,62.66688,1.1,Lynx,Tetlin Refuge,ATS
1,1,4/23/2015 12:00,-141.75038,62.66792,1.7,Lynx,Tetlin Refuge,ATS
1,1,4/23/2015 16:00,-141.74833,62.6701,0.9,Lynx,Tetlin Refuge,ATS
1,1,4/23/2015 20:00,-141.75077,62.67381,1.1,Lynx,Tetlin Refuge,ATS
1,1,4/24/2015 0:00,-141.75764,62.67878,0.7,Lynx,Tetlin Refuge,ATS
1,1,4/24/2015 4:00,-141.76457,62.68126,1.5,Lynx,Tetlin Refuge,ATS
1,1,4/24/2015 8:00,-141.7666,62.67919,1.2,Lynx,Tetlin Refuge,ATS
1,1,4/24/2015 12:00,-141.76412,62.68019,1,Lynx,Tetlin Refuge,ATS
1,1,4/24/2015 16:00,-141.76316,62.68005,1,Lynx,Tetlin Refuge,ATS
1,1,4/24/2015 20:00,-141.76304,62.6804,1.1,Lynx,Tetlin Refuge,ATS
