locid,ndowid,timestamp,lng,lat,hdop,species,mgmtarea,deviceid
1,1,3/9/2015 4:00,-141.77957,62.64776,1,Lynx,Tetlin Refuge,ATS
1,1,3/9/2015 12:00,-141.72924,62.67466,0.9,Lynx,Tetlin Refuge,ATS
1,1,3/9/2015 16:00,-141.69453,62.65734,1.2,Lynx,Tetlin Refuge,ATS
1,1,3/9/2015 20:00,-141.68725,62.66133,1.2,Lynx,Tetlin Refuge,ATS
1,1,3/10/2015 0:00,-141.68675,62.66122,1,Lynx,Tetlin Refuge,ATS
1,1,3/10/2015 4:00,-141.74317,62.64447,1.6,Lynx,Tetlin Refuge,ATS
1,1,3/10/2015 8:00,-141.75169,62.64087,0.9,Lynx,Tetlin Refuge,ATS
1,1,3/10/2015 12:01,-141.75718,62.66086,1.1,Lynx,Tetlin Refuge,ATS
1,1,3/10/2015 16:00,-141.77975,62.66106,1.6,Lynx,Tetlin Refuge,ATS
1,1,3/10/2015 20:00,-141.81263,62.65984,1.1,Lynx,Tetlin Refuge,ATS
1,1,3/11/2015 0:00,-141.81265,62.65985,0.8,Lynx,Tetlin Refuge,ATS
1,1,3/11/2015 4:00,-141.81263,62.65983,1,Lynx,Tetlin Refuge,ATS
1,1,3/11/2015 8:00,-141.80589,62.67135,0.8,Lynx,Tetlin Refuge,ATS
1,1,3/11/2015 12:00,-141.78189,62.65955,1.2,Lynx,Tetlin Refuge,ATS
1,1,3/11/2015 16:00,-141.75836,62.65056,1.3,Lynx,Tetlin Refuge,ATS
1,1,3/11/2015 20:00,-141.75927,62.64699,0.9,Lynx,Tetlin Refuge,ATS
1,1,3/12/2015 0:00,-141.75885,62.64545,0.8,Lynx,Tetlin Refuge,ATS
1,1,3/12/2015 4:00,-141.75907,62.6454,1.3,Lynx,Tetlin Refuge,ATS
1,1,3/12/2015 8:00,-141.75222,62.64572,0.9,Lynx,Tetlin Refuge,ATS
1,1,3/12/2015 12:00,-141.75076,62.64476,1.2,Lynx,Tetlin Refuge,ATS
1,1,3/12/2015 16:00,-141.75286,62.6463,1.1,Lynx,Tetlin Refuge,ATS
1,1,3/12/2015 20:00,-141.75093,62.64537,0.8,Lynx,Tetlin Refuge,ATS
1,1,3/13/2015 0:00,-141.75093,62.6454,1,Lynx,Tetlin Refuge,ATS
1,1,3/13/2015 4:00,-141.75096,62.64538,1.1,Lynx,Tetlin Refuge,ATS
1,1,3/13/2015 8:00,-141.75085,62.64534,1.1,Lynx,Tetlin Refuge,ATS
1,1,3/13/2015 12:00,-141.75093,62.6455,1.2,Lynx,Tetlin Refuge,ATS
1,1,3/13/2015 16:00,-141.75077,62.64496,1.4,Lynx,Tetlin Refuge,ATS
1,1,3/13/2015 20:00,-141.75115,62.64554,0.9,Lynx,Tetlin Refuge,ATS
1,1,3/14/2015 0:00,-141.75122,62.64549,0.8,Lynx,Tetlin Refuge,ATS
1,1,3/14/2015 4:00,-141.75183,62.64558,1.1,Lynx,Tetlin Refuge,ATS
1,1,3/14/2015 8:00,-141.75184,62.64554,1.2,Lynx,Tetlin Refuge,ATS
1,1,3/14/2015 12:00,-141.73295,62.65246,1.2,Lynx,Tetlin Refuge,ATS
1,1,3/14/2015 16:00,-141.71849,62.66602,1.1,Lynx,Tetlin Refuge,ATS
1,1,3/14/2015 20:00,-141.7841,62.67544,1.1,Lynx,Tetlin Refuge,ATS
1,1,3/15/2015 0:00,-141.8199,62.67242,1.8,Lynx,Tetlin Refuge,ATS
1,1,3/15/2015 4:00,-141.81036,62.6593,1.2,Lynx,Tetlin Refuge,ATS
1,1,3/15/2015 8:00,-141.81036,62.6593,1,Lynx,Tetlin Refuge,ATS
1,1,3/15/2015 12:00,-141.80162,62.65291,1.2,Lynx,Tetlin Refuge,ATS
1,1,3/15/2015 16:00,-141.80136,62.65917,1.4,Lynx,Tetlin Refuge,ATS
1,1,3/15/2015 20:00,-141.80723,62.66724,0.9,Lynx,Tetlin Refuge,ATS
1,1,3/16/2015 0:00,-141.80708,62.66698,0.9,Lynx,Tetlin Refuge,ATS
1,1,3/16/2015 4:00,-141.81825,62.66609,1,Lynx,Tetlin Refuge,ATS
1,1,3/16/2015 8:01,-141.81852,62.66651,1.7,Lynx,Tetlin Refuge,ATS
1,1,3/16/2015 12:00,-141.81866,62.65942,0.9,Lynx,Tetlin Refuge,ATS
1,1,3/16/2015 16:00,-141.8083,62.65962,1.2,Lynx,Tetlin Refuge,ATS
1,1,3/16/2015 20:00,-141.79333,62.66399,1.6,Lynx,Tetlin Refuge,ATS
1,1,3/17/2015 0:01,-141.79829,62.65876,1.3,Lynx,Tetlin Refuge,ATS
1,1,3/17/2015 4:00,-141.81044,62.66057,1.1,Lynx,Tetlin Refuge,ATS
1,1,3/17/2015 8:00,-141.80563,62.65911,1.2,Lynx,Tetlin Refuge,ATS
1,1,3/17/2015 12:00,-141.78692,62.65974,1.1,Lynx,Tetlin Refuge,ATS
1,1,3/17/2015 16:00,-141.78399,62.65996,1.3,Lynx,Tetlin Refuge,ATS
1,1,3/17/2015 20:00,-141.78709,62.6598,1.9,Lynx,Tetlin Refuge,ATS
1,1,3/18/2015 0:01,-141.78976,62.65968,1.1,Lynx,Tetlin Refuge,ATS
1,1,3/18/2015 4:00,-141.78987,62.65966,1.1,Lynx,Tetlin Refuge,ATS
1,1,3/18/2015 8:00,-141.80329,62.65913,1.1,Lynx,Tetlin Refuge,ATS
